,Vmag,Plx,e_Plx,B-V,SpType
57502, 8.78,   9.88,  0.95, 0.436,F5
57503, 8.69,   3.63,  1.08, 1.072,K2/K3III:
57504, 9.43,   6.00,  1.33, 0.445,F2/F3V
57505, 8.69,  15.13,  1.19, 0.610,G0/G1V
57506, 9.16,   3.92,  1.42, 0.560,F2III/IV
57507, 8.82,   4.46,  1.13, 1.324,K1III
57508,11.40,  24.72,  2.85, 1.294,
57509, 7.10,   5.60,  0.99, 0.062,A2V
57510, 8.69,   2.96,  1.64, 0.937,G8III
57511, 8.45,   4.17,  1.04, 0.360,F5
57512, 7.89,  11.02,  1.03, 0.461,F5V
57513, 7.59,   5.99,  0.89, 0.333,A2/A3m...
57514, 7.86,   3.55,  0.91, 1.246,K2III
57515, 5.31,  16.97,  0.74, 0.038,A1
57516, 7.48,   6.91,  1.08, 0.871,G9IVw...
57517,11.05,   6.08,  2.65, 0.381,F2
57518, 4.50,  14.40,  0.86, 0.547,A comp SB
57519, 9.79,   4.54,  5.58, 0.547,F5
57520, 7.94,   8.03,  1.00, 0.230,A3II/III
57521,10.37,   1.66,  2.08, 0.739,F5
57522, 8.86,   1.98,  0.95, 0.168,B1Vne
57523, 9.50,  14.58,  5.14, 0.547,F5
57524,11.38,  18.03,  1.91, 1.369,
57525, 9.03,  -0.55,  1.14, 0.930,G8III
57526, 8.31,  27.96,  1.64, 0.929,K0V
57527, 7.10,  14.41,  0.84, 0.756,G5/G6V
57528, 8.54,   0.82,  0.90, 1.033,G5
57529, 7.75,   2.73,  0.91, 1.399,K4III
57530, 8.22,   3.83,  0.75, 0.519,F0IV
57531, 9.15,   0.19,  2.64, 0.661,K0/K1III+..
57532, 9.80,  13.35,  1.18, 0.730,G8V
57533,10.12,   3.38,  1.54, 0.350,F2
57534, 4.75,   7.55,  0.52, 1.522,K4III
57535, 8.27,   1.80,  1.20, 1.663,M2III
57536,11.23,  13.25,  2.28, 1.092,
57537, 8.99,   5.64,  1.29, 0.434,F3V
57538, 7.66,   3.99,  0.93, 1.096,K0
57539, 9.18,   2.82,  1.93, 0.860,G8III
57540, 6.24,  23.49,  0.80, 0.585,F7V
57541, 9.65,   4.33,  1.00, 0.810,G5
57542,11.13,  19.87,  2.38, 1.663,Mp
57543,11.14,   4.19,  2.52, 0.491,F5
57544, 7.24,  11.49,  0.90, 0.392,F2
57545,10.93,   6.41,  2.34, 0.645,G0
57546, 7.87,   5.56,  1.04, 0.281,F0
57547, 7.41,  16.75,  0.91, 0.755,G6IV
57548, 9.68,   0.12,  1.18, 0.043,B9.5V
57549, 9.45,   5.84,  1.89, 0.475,F5V
57550, 7.95,   6.19,  0.89, 0.348,F0V
57551, 8.99,  -2.02,  1.31, 1.410,K3III
57552, 7.93,   5.36,  0.95, 1.194,K2
57553, 8.90,   2.24,  1.04, 0.364,F0
57554, 8.34,   8.99,  1.06, 0.440,F3V
57555, 7.89,   4.26,  0.91, 1.120,K1III
57556, 8.08,   2.06,  0.85, 1.701,M1III
57557, 7.05,   6.42,  0.85, 0.076,A2V
57558, 8.12,   4.78,  0.96, 0.958,K0III/IV
57559, 5.90,  13.48,  0.87, 0.303,F0V
57560, 7.02,   4.99,  0.87, 1.295,M7III
57561, 8.32,  12.28,  1.08, 0.541,F8
57562,10.38,  17.18,  1.89, 0.942,
57563, 8.31,   3.02,  1.68, 0.933,G5+...
57564, 6.85,   7.40,  0.92, 1.029,K0III
57565, 8.73,   8.56,  1.16, 0.689,G5
57566, 5.10,   6.84,  0.65, 1.594,M4III
57567, 9.27,   6.99,  1.38, 0.426,F5
57568, 9.16,  10.15,  1.16, 0.496,F5
57569, 9.13,   3.43,  1.24, 1.235,K0
57570, 7.99,  15.06,  1.17, 0.573,F8
57571, 9.27,   2.34,  1.21, 0.871,G8III
57572, 8.74,   4.82,  1.08, 0.335,F0
57573, 8.67,   4.34,  1.18, 0.286,A7IV
57574, 7.62,   1.40,  0.85, 1.585,K5/M0III
57575,10.76,   5.49,  1.88, 0.909,G5
57576, 8.44,   3.87,  0.94, 0.599,A6:+...
57577, 9.70,   3.02,  2.78, 0.325,Am...
57578,11.57,  -0.31,  2.58,      ,F5
57579, 8.57,  10.86,  0.83, 0.468,F5V
57580, 8.38,   1.70,  0.93, 0.981,K0III
57581, 7.74,   2.59,  1.02,-0.056,B3V
57582, 6.15,  29.26,  0.99, 0.518,F7V
57583, 6.84,   8.21,  0.94, 1.066,K0
57584, 7.41,   5.11,  0.90, 1.075,G6III
57585, 2.14,  90.16,  0.89, 0.090,A3Vvar
57586, 8.25,   2.12,  1.02, 1.521,K4III
57587, 8.46,   9.64,  1.10, 0.424,F3V
57588, 9.15,   8.44,  1.34, 0.514,F8
57589, 6.55,   9.07,  0.86, 1.152,K0
57590, 8.56,   2.76,  0.96, 1.366,K5
57591, 8.26,   3.21,  1.00, 1.130,K0III
57592, 7.45,   1.13,  1.49, 0.722,F8
57593, 8.33,   3.05,  2.51, 0.392,
57594, 6.96,   1.83,  0.86, 1.543,K5
57595,10.04,   0.42,  2.23, 1.500,Md
57596, 7.37,   4.46,  0.95, 0.933,K0III
57597, 6.86,   6.55,  0.84, 0.100,B9V
57598, 9.25,  25.43,  1.15, 0.895,K2V
57599, 6.05,  15.96,  0.81, 0.278,A3m
57600, 8.65,   2.77,  1.94, 0.430,F3III/IV
57601, 7.31,   1.34,  0.92, 1.429,K2
57602,10.19,  -1.26,  1.54, 0.827,G5
57603, 9.01,   2.90,  1.32, 0.994,G8III
57604,10.24, -13.15, 12.47, 0.300,A5
57605, 9.20,   1.97,  1.19, 1.107,G9III
57606, 7.42,  -0.25,  0.72, 1.891,M0III
57607, 9.21,   5.06,  1.33, 0.361,F0V
57608, 8.45,   2.05,  1.25, 1.541,M...
57609,12.04,  -5.37,  3.25,      ,Fp
57610, 7.18,   6.77,  1.01, 0.275,Fm...
57611, 9.12,  23.29,  1.65, 0.828,K0
57612,10.03,   0.98,  1.78, 0.770,G0
57613, 9.97,  17.91,  1.53, 1.110,K4V
57614, 9.94,   1.48,  0.97, 0.178,Ap Si
57615, 9.03,  11.02,  1.06, 0.632,K0
57616, 9.16,   1.78,  1.37, 1.300,K2
57617, 7.57,   3.37,  0.87, 0.931,G6IIIp
57618, 8.29,  -0.20,  1.07, 1.161,K1IIICN...
57619, 7.87,   6.21,  1.11, 1.260,K0
57620, 9.30,   2.73,  1.57, 0.972,G8/K0III
57621, 9.02,  14.52,  1.34, 0.582,G2/G3V
57622, 4.30,   7.10,  0.69,-0.149,B3V
57623, 5.73,  14.39,  0.70, 0.467,F5IV
57624,10.19,   2.96,  1.59, 0.093,A0
57625, 7.95,  11.98,  1.33, 0.543,F7V
57626, 9.25,   5.69,  1.34, 0.481,F8
57627, 8.83,   0.39,  1.32, 1.179,K1IIICN...
57628, 8.48,   3.14,  1.02, 0.231,A2
57629, 7.90,  10.71,  1.02, 0.641,G5
57630, 8.67,   1.65,  0.96, 0.051,B9.5V
57631, 9.01,   0.72,  1.18, 1.705,M1III:
57632,11.05,  12.14,  1.64, 0.969,
57633, 7.39,   6.65,  0.92, 1.128,K1III
57634, 7.77,  16.37,  0.96, 0.513,F5
57635, 7.59,   2.60,  0.92, 1.300,K1III
57636, 8.94,  31.29,  1.50, 1.098,K2V
57637, 8.49,   4.96,  1.20, 0.435,F3V
57638, 9.24,   3.24,  1.34, 0.406,G
57639, 9.40,   1.25,  1.61, 1.129,K0
57640, 8.62,  14.95,  1.40, 0.529,F8
57641, 9.47,  31.68,  1.20, 1.078,M...
57642, 9.92,  12.36,  4.13, 0.838,G8V
57643, 8.11,  -0.16,  1.17, 1.501,K2
57644, 9.22,  -0.35,  1.21, 0.997,G8III
57645, 9.30,   1.27,  1.28, 1.125,K2III
57646, 9.37,  12.61,  0.96, 0.608,G0
57647, 9.15,   9.44,  1.42, 0.518,G0
57648, 9.14,   4.17,  1.24, 0.444,G5
57649, 4.98,   2.24,  0.58, 1.360,G5Ib
57650, 8.74,   8.07,  2.69, 0.378,F3V
57651, 8.85,   9.17,  1.22, 0.413,F3V
57652, 9.15,   7.01,  1.26, 0.681,G5
57653, 8.11,   7.19,  1.09, 1.123,K1IIICN...
57654, 7.28,   3.45,  0.88, 0.996,G8III
57655, 9.28,   2.92,  1.29, 0.380,F2IV/V
57656,10.88,   6.09,  3.22, 0.615,G0
57657, 7.86,   2.39,  1.03, 1.595,K5III
57658, 8.38,   3.95,  1.04, 0.801,G5
57659, 8.33,   9.97,  1.01, 0.460,F5
57660,10.39,  -0.31,  1.77, 1.047,K1III
57661, 9.60,   6.94,  1.42, 0.677,G5
57662, 9.23,   2.03,  1.38, 0.910,K0
57663, 8.20,   8.41,  1.07, 0.190,A3V
57664, 9.26,   1.26,  1.55, 1.130,K2
57665, 8.87,   5.69,  1.32, 0.930,K0
57666, 9.19,  21.01,  1.49, 0.776,K0
57667, 8.18,   1.43,  1.20, 1.590,K2
57668, 9.34,   1.77,  0.98, 1.180,G8/K0III
57669, 8.76,   8.29,  1.15, 0.695,G0
57670, 9.04,   8.64,  1.15, 0.479,F5V
57671, 8.89,  -0.76,  1.05, 0.106,B3IV/V
57672, 8.30,   4.32,  0.99, 1.128,K1III
57673, 6.74,   6.80,  0.73, 1.074,K0
57674, 8.48,   5.98,  1.00, 0.229,A2
57675, 8.14,   6.69,  0.90, 0.408,F3V
57676, 9.05,   9.16,  1.15, 0.617,G0V
57677, 8.78,   1.25,  1.34, 1.053,K0/K1IIICNp
57678,11.98,   4.31,  3.07, 0.168,A2
57679,10.18,  -3.99,  1.52, 1.040,K0III
57680, 9.27,   4.92,  1.25, 0.465,F3/F5V
57681, 9.84,   3.48,  1.54, 0.419,F2/F3V
57682, 9.58,   8.02,  1.78, 0.611,G0
57683, 7.71,  10.12,  0.98, 0.485,F8
57684,11.29,  12.61,  8.18, 1.369,M0V
57685, 6.13,   4.85,  0.85, 0.947,G8II/III
57686, 9.77,   0.64,  1.39, 0.160,A1IV
57687, 8.62,  11.26,  1.13, 0.574,G0
57688, 9.26,  18.37,  1.36, 0.787,K0
57689,10.28,   2.71,  1.52, 0.441,F5
57690, 9.78,   0.22,  6.47, 1.721,
57691, 7.66,   9.35,  0.90, 0.427,F2V
57692, 9.33,  11.17,  1.35, 0.678,G3V
57693, 7.85,   7.00,  1.13, 0.644,G0
57694, 5.68,   1.06,  0.54, 0.233,A3Iab
57695,10.49,  -0.17,  3.98, 0.377,F5
57696, 8.38,   4.29,  1.13, 0.265,A3
57697, 7.84,  11.13,  0.92, 0.580,G0V
57698, 8.30,   1.06,  1.15, 1.141,K2
57699, 8.69,   4.15,  1.34, 1.211,K2III
57700, 7.68,   5.72,  0.85, 0.923,G6/G8III
57701, 7.89,   5.85,  0.92, 0.780,G3III
57702, 6.48,   6.58,  0.71, 0.980,G8III
57703, 8.15,   8.47,  1.14, 0.525,F7V
57704, 8.13,   2.66,  0.90, 1.097,K0
57705, 9.05,   8.50,  1.41, 0.482,F5
57706, 7.24,   2.69,  0.90, 1.527,K4III
57707, 9.17,   5.39,  1.19, 0.457,G5
57708, 8.26,   5.54,  1.02, 1.127,K0
57709,10.17,   7.80,  1.45, 0.760,G6/G8V
57710, 3.59,  91.74,  0.77, 0.518,F8V
57711, 7.36,  11.40,  0.91, 0.701,G3V
57712, 8.31,   1.69,  0.98, 1.587,K5
57713, 8.87,   5.28,  0.87, 0.325,A5
57714, 7.91,   7.95,  0.97, 0.455,F5
57715, 8.24,   3.14,  0.92,-0.078,B8/B9V
57716, 7.68,   3.81,  0.88, 0.937,K0
57717, 8.50,   2.65,  1.05, 1.124,K1III
57718, 8.76,   5.00,  0.94, 0.320,F0V
57719, 8.89,   2.75,  1.37, 1.094,K1III
57720, 8.92,   1.49,  1.22, 1.120,G8III
57721, 9.93,   2.05,  1.89, 0.280,F5
57722, 8.07,   4.25,  0.98, 0.996,K0
57723, 8.18,   4.05,  1.02, 0.950,G8/K0III
57724, 8.20,   5.61,  0.91, 0.243,A5/A6V
57725, 9.30,   2.37,  1.60, 0.980,K0III
57726, 9.46,   2.80,  1.32, 0.411,F8
57727, 7.51,   1.69,  0.92, 1.499,M0
57728, 7.57,   1.79,  0.97, 1.129,K0IIICN...
57729, 8.83,   5.30,  2.89, 0.528,F5V
57730, 9.23,   4.35,  1.38, 0.424,F2
57731, 9.42,   1.05,  1.36, 1.010,K0
57732, 6.37,  18.08,  0.74, 0.294,A5m
57733, 8.97,   7.09,  1.18, 0.581,G0
57734, 8.02,   5.42,  0.70, 0.371,F0
57735,10.78,   3.54,  2.90, 1.045,K0
57736, 7.65,   2.97,  0.70, 1.043,G8III
57737,10.19,   0.67,  1.54, 0.466,
57738, 7.17,   2.47,  0.84, 1.031,G8III
57739, 9.43,   4.35,  1.46, 1.264,K5
57740, 9.26,   1.68,  0.99, 0.858,
57741, 7.89,  10.41,  1.05, 0.390,F0V
57742, 8.87,   2.07,  2.22, 0.990,K0III
57743, 7.64,   7.31,  0.89, 0.347,F0
57744, 5.62,  12.59,  1.00, 1.058,K0IV
57745, 7.32,   5.78,  0.83, 0.049,A1V
57746, 9.90,   3.70,  1.37, 0.513,F8
57747, 9.03,   4.09,  1.72, 0.970,K0
57748, 8.92,   5.02,  1.81, 1.020,K0
57749, 7.69,  11.12,  0.76, 0.578,F8V
57750, 8.75,   0.86,  1.01, 0.941,K0
57751, 9.79,  12.85,  1.50, 0.720,G5
57752, 7.18,   5.28,  0.79, 1.201,K2III
57753, 8.14,   5.52,  1.11, 1.219,M3
57754, 7.56,   3.56,  0.88, 1.100,K1III
57755, 9.76, 116.92,  1.38, 1.477,M1V
57756, 4.47,   7.03,  0.72, 1.283,K4III
57757, 8.67,   8.33,  1.14, 0.504,F8
57758, 6.25,  15.87,  0.70, 0.345,Am
57759, 6.87,   3.46,  0.87, 1.232,K0
57760, 7.78,   3.36,  1.11, 0.041,A0V
57761, 6.51,  -0.17,  0.59, 0.255,B5Ia
57762, 6.62,   7.54,  0.78,-0.027,A0V
57763, 9.23,   3.39,  1.45, 0.332,F0
57764, 8.57,   4.40,  0.69, 0.202,A2
57765,10.45,   2.91,  1.82, 0.206,A5
57766, 7.23,   8.78,  0.64, 0.179,A2
57767, 7.55,  13.65,  0.68, 0.471,F6V
57768, 8.33,   8.18,  0.94, 0.313,A5
57769, 9.97,   5.87,  1.69, 0.531,F5
57770, 7.00,   5.45,  0.83, 1.168,K1III
57771, 9.47,   3.68,  1.33, 0.527,G2w...
57772, 6.34,  22.25,  0.80, 0.410,F1III-IV
57773, 7.86,   8.26,  0.94, 0.971,K0III
57774, 7.05,  18.59,  0.92, 0.473,F6V
57775, 7.96,  12.05,  1.08, 0.460,F3/F5V
57776, 9.05,   4.61,  1.28, 0.724,G5
57777,10.18,   4.57,  1.54, 0.469,F5
57778, 8.81,   1.67,  1.04, 1.188,K1III
57779, 7.75,   5.78,  0.84, 0.456,F3IV/V
57780, 7.56,  11.18,  0.84, 0.427,F3V
57781,10.06,  -3.24,  1.98, 1.248,G0
57782, 7.56,  -0.35,  1.04, 1.621,K5
57783, 8.24,   3.54,  0.94, 1.621,M1/M2III
57784, 8.96,   3.93,  1.13, 0.483,G5
57785, 8.73,   3.94,  1.30, 1.454,K4III
57786, 8.77,   8.46,  1.13, 0.626,G2V
57787, 8.48,   2.80,  1.07, 1.039,G8IV
57788,10.58,       ,      ,      ,
57789, 9.65,  19.06,  1.39, 0.787,G7IV
57790, 9.45,   5.23,  1.36, 1.115,K1IV
57791,10.90,   2.26,  3.71, 0.574,
57792, 9.46,   3.80,  1.43, 1.631,M0
57793, 9.39,   2.35,  1.27, 0.260,A2V
57794, 7.60,   6.01,  0.83, 1.072,K0III
57795, 5.85,  31.81,  0.84, 0.554,F8V
57796,10.55,   3.42,  4.33, 0.801,G0
57797, 8.17,   0.35,  0.76, 2.317,M3Ia-Iab
57798,10.41,  -1.31,  1.31,      ,
57799, 8.67,   5.84,  2.22, 0.655,G0
57800, 8.91,   1.30,  1.27, 1.069,K0
57801, 7.35,   7.61,  0.87, 0.458,F5V
57802, 7.19,   3.29,  0.95, 0.030,B4V
57803, 8.38,   4.28,  0.82, 0.993,K0III
57804, 8.19,   0.72,  1.09, 1.271,G3Ibpvar
57805, 4.89,   9.64,  0.56,-0.123,B4V
57806, 8.67,   5.58,  1.08, 0.264,A5
57807, 8.86,   2.13,  0.93, 0.350,A2
57808, 9.28,   4.27,  1.41, 1.035,G5
57809,11.66,   0.66,  2.61,      ,Gp
57810,10.97,  18.22,  4.75, 1.060,
57811, 7.93,  10.09,  0.99, 0.490,K0III-IV
57812, 7.40,  10.78,  0.90, 0.970,K0
57813, 8.97,  20.16,  3.04, 0.977,K0V
57814, 8.41,  10.88,  2.63, 0.594,G5V
57815, 9.96,   3.69,  1.49, 0.501,F5
57816, 6.99,   2.93,  0.76,-0.100,B5V
57817, 9.52,  12.01,  1.50, 0.662,G0
57818, 9.32,   2.50,  1.42, 1.060,K0III
57819, 8.10,   6.19,  0.85, 0.396,F2
57820, 8.40,  39.48,  1.58, 0.860,K2
57821, 9.53,   2.17,  1.46, 0.059,B9.5V
57822, 9.20,  15.20,  1.62, 0.694,K0
57823, 9.09,   3.22,  1.37, 0.902,K0
57824, 8.26,   3.44,  1.05, 0.944,G8III
57825, 5.56,   9.57,  0.68, 0.069,B4III
57826, 8.87,   6.06,  1.19, 0.479,F5IV
57827, 9.66,   9.68,  1.63, 0.385,F5
57828, 8.61,   3.64,  1.18, 1.080,K0III
57829, 7.42,   7.18,  0.76, 0.294,A9V
57830, 7.08,   1.58,  0.86, 1.298,K1III
57831, 9.17,   1.63,  1.51, 1.086,K0III
57832, 9.83,   1.87,  1.64, 0.420,F2
57833, 8.18,   8.52,  0.91, 0.470,F3V
57834, 9.71,  16.21,  1.70, 0.400,G8V
57835, 9.84,   8.52,  1.30, 0.710,G6V
57836, 8.42,   3.10,  1.07, 1.172,K2
57837, 9.04,   3.20,  1.51, 1.079,K0III
57838, 9.83,   2.85,  1.27, 0.982,F8:p
57839, 6.59,   7.17,  0.85, 1.322,K3III
57840, 8.75,   0.40,  1.26, 1.460,K5
57841, 8.85,   5.39,  1.17, 0.644,G1V
57842, 7.61,  12.39,  0.97, 1.055,K0
57843, 9.20,   1.95,  1.30, 1.219,K5
57844, 9.87,   5.29,  1.60, 0.527,F8
57845, 9.12,   2.23,  1.54, 0.922,K0
57846, 9.61,   8.38,  0.98, 0.552,G0/G1V
57847,10.23,   8.83,  2.61, 0.569,F8
57848, 7.66,  14.43,  1.03, 0.566,G0V
57849, 8.31,  -0.12,  0.83, 0.000,B1III:var
57850, 8.97,   3.12,  1.14, 0.373,F5
57851, 7.95,  12.76,  1.07, 0.800,G5
57852, 7.26,  11.44,  1.06, 0.470,F7V
57853, 7.81,   2.76,  0.79, 1.712,K4III:
57854, 7.70,   4.95,  0.79, 1.180,K1IVw...
57855,12.30,  16.48,  4.24, 0.926,G:
57856, 9.41,   3.49,  1.42, 0.901,K0
57857,10.49,   3.05,  1.86, 1.050,K0III
57858,10.24,   2.26,  1.66, 0.368,F5
57859, 9.58,   3.79,  1.08, 0.184,A2
57860, 9.06,   4.13,  1.60, 0.761,G5
57861, 7.23,   1.16,  0.62,-0.024,B3III
57862, 8.62,   8.14,  1.16, 0.785,K0III
57863, 8.81,   7.07,  0.98, 0.525,F6V
57864, 8.89,   7.45,  1.09, 0.266,A5
57865, 9.98,   0.85,  2.51, 0.600,F5
57866, 7.73,   6.95,  0.79, 0.435,F3IV/V
57867, 7.37,   5.06,  0.97, 1.178,K0/K1III
57868, 9.04,   2.61,  1.04, 0.492,F0III/IV
57869, 8.27,   5.06,  1.54, 0.601,F6IV+...
57870, 8.68,   1.48,  1.37, 0.401,F0/F2III
57871, 9.20,   2.04,  1.31, 1.078,M6e-M7e
57872, 8.44,  10.36,  1.20, 0.536,F8
57873, 7.88,   4.90,  1.09, 1.052,K0III
57874, 6.83,   9.68,  0.96, 0.222,A2
57875,10.65,   3.99,  1.62, 0.580,F8
57876, 8.34,   4.15,  1.16, 1.170,K2III
57877, 8.89,   2.29,  1.29, 1.162,K1III
57878, 8.92,   9.88,  1.16, 0.640,G5
57879, 7.49,   2.62,  0.77, 1.464,K2/K3III
57880, 9.33,   1.05,  0.95, 1.850,M0
57881, 8.49,  12.14,  1.19, 0.719,G5IV
57882, 8.10,   1.66,  0.79, 1.795,M2III
57883, 8.59,   5.09,  2.60, 0.510,F5+...
57884, 9.84,   8.20,  1.46, 0.587,G0
57885, 9.40,  20.27,  1.47, 0.860,K1Vp...
57886, 8.55,   3.23,  1.41, 1.100,K2
57887, 8.94,   2.09,  1.16, 1.109,K1III
57888, 8.82,  -0.82,  0.99, 0.915,G6/G8III+..
57889, 9.56,  -0.12,  1.41, 1.350,K2III
57890, 4.29,   8.93,  0.88,-0.100,Ap Si
57891, 8.88,   4.06,  1.86, 1.000,K1III/IV
57892, 8.95,   5.87,  1.44, 0.365,A8/A9V
57893, 7.85,   1.04,  0.77, 1.240,G3Ib
57894, 6.42, 109.21,  0.78, 0.754,G8Vp
57895, 7.51,   5.48,  0.97, 1.000,K0
57896, 7.69,   5.86,  0.89, 0.289,A6V
57897, 8.11,   2.37,  0.83, 1.010,G5
57898, 8.13,   2.61,  1.32, 0.836,G6III
57899,10.16,  -0.24,  4.12, 0.389,Ap SrCrEu
57900, 8.49,   3.88,  0.87, 0.194,A2
57901, 8.16,  11.67,  0.99, 0.481,F5V
57902, 8.78,  11.47,  1.22, 0.740,G6V
57903,11.70,  33.34,  4.05, 1.510,M0
57904, 8.26,   9.55,  1.02, 0.401,F2IV/V
57905,10.15,   1.06,  1.91, 0.351,F8
57906, 8.60,   6.55,  1.08, 0.407,F5
57907, 9.74,  10.54,  5.28, 0.465,F2IV
57908, 9.85,   4.13,  1.45, 0.222,A2
57909, 8.15,   3.08,  1.82, 0.305,F0V
57910, 8.89,   2.88,  0.92, 1.079,K1III+...
57911, 8.86,   6.45,  1.08, 0.410,F3V
57912, 9.64,   5.55,  1.41, 0.488,F5
57913,11.89,  48.63,  3.34, 1.540,M4
57914, 6.62,  17.17,  0.71, 0.333,F2V
57915, 8.84,   1.88,  1.16, 0.005,A0Vn
57916, 9.32,   7.26,  1.40, 0.308,F0V
57917, 7.34,   2.39,  0.66, 0.005,B4IV
57918, 7.54,   5.14,  0.66, 0.981,K0
57919, 8.95,   6.53,  0.91, 0.461,F3IV/V
57920, 7.62,  10.31,  0.92, 0.281,F0V
57921, 8.69,   2.65,  0.93, 1.079,G5
57922, 8.75,   1.45,  1.29, 1.130,K0III
57923, 8.84,   5.10,  1.43, 0.555,G0
57924, 9.45,   3.52,  1.33, 1.090,K2III
57925, 6.17,  13.23,  0.78, 0.089,A2V
57926, 8.12,   4.28,  1.10, 1.405,K5
57927, 8.23,  -0.19,  0.81, 0.076,B9.5V
57928, 9.63,  10.36,  1.64, 0.618,F8
57929,10.11,  12.53,  3.37, 0.790,K0
57930, 9.23,   2.57,  1.53, 1.150,K0III
57931, 8.15,   8.29,  0.89, 0.522,F8
57932,10.12,   3.03,  1.43, 0.957,F5
57933, 7.43,   3.39,  1.23, 1.200,K0III
57934, 9.31,  -1.33,  1.54, 1.316,K0
57935, 7.22,   3.14,  0.91, 1.005,K0III
57936, 9.58,   0.31,  1.29, 0.791,G5/G6III
57937,11.24,  21.00,  2.33, 1.316,
57938, 9.59,   2.98,  1.35, 0.725,F0
57939, 9.26,   7.50,  1.28, 0.569,G1V
57940, 8.01,   8.70,  1.42, 0.476,F5...
57941, 8.32,   3.24,  0.98, 0.039,Ap...
57942,10.52,   5.06,  2.09, 0.391,F5
57943,10.19,   1.09,  2.28, 0.588,F8
57944, 7.90,   4.26,  0.85, 1.017,G5
57945, 8.11,   8.64,  0.99, 0.569,F8/G0V
57946, 8.28,  32.39,  0.69, 0.720,G5
57947, 9.54,   7.28,  1.47, 0.667,G6V
57948, 6.77,  17.49,  0.70, 0.574,F8
57949, 8.24,   2.68,  0.75, 1.520,K4III
57950, 8.10,   1.94,  0.98, 0.028,B7V
57951, 8.72,   1.94,  1.14, 1.104,K0III
57952, 7.00,   5.49,  0.80, 0.323,F0
57953, 9.15,  10.30,  0.91, 0.510,G0V
57954, 8.46,   2.34,  0.98, 1.397,K2III
57955, 2.41,  38.99,  0.68, 0.044,A0V SB
57956, 6.31,   7.58,  0.83, 0.207,F0V
57957, 6.73,   4.97,  0.85, 1.060,K1III
57958, 8.57,   2.50,  1.12, 1.045,A0/A1V
57959, 9.02,   2.53,  1.14, 1.150,K2III
57960, 7.71,   9.74,  1.30, 0.282,F0
57961, 7.36,   5.71,  0.97, 0.894,G5
57962, 8.64,   8.71,  2.06, 0.808,G5
57963, 8.82,   3.75,  1.20, 0.950,G8IV
57964, 8.52,   4.63,  1.16, 0.910,K0
57965, 8.74,   9.80,  1.10, 0.438,F3V
57966, 8.98,   4.63,  1.56, 0.509,F8
57967, 9.36,   4.46,  1.38, 0.358,F0
57968, 8.10,   3.23,  1.17, 0.985,K0IV
57969, 9.00,   2.81,  1.55,-0.015,B9.5IV
57970, 9.15,   0.84,  1.50, 1.624,K5
57971, 8.21,   2.02,  0.90, 1.326,K0
57972, 8.98,   2.07,  1.47, 0.560,G0
57973,10.92,  23.17,  2.15, 1.225,K2V
57974, 8.44,   5.60,  0.98, 0.208,A3V
57975, 8.27,   4.26,  1.01, 1.124,K2
57976, 9.44,   1.90,  1.38, 0.670,G3V
57977,10.52,   5.15,  1.70, 0.690,F8
57978, 8.08,  14.67,  0.74, 1.044,K2IV
57979, 8.96,   2.04,  1.22, 0.258,A2V
57980, 7.55,  10.88,  0.73, 0.474,F5
57981, 7.80,   2.03,  1.26, 1.530,K5
57982, 9.05,   5.76,  1.14, 0.476,F6Iab:
57983, 8.44,  22.42,  0.87, 0.724,G6V
57984, 9.45,   0.01,  1.25, 1.090,K0III
57985, 7.97,  12.11,  1.09, 0.931,K0
57986, 9.37,   3.67,  0.90, 0.427,F0IV/V
57987,10.10,   9.83,  2.45, 0.559,F8
57988, 7.85,  11.60,  1.10, 0.495,F8
57989, 7.90,   3.21,  0.99, 1.019,K0
57990, 9.86,  -0.07,  2.86, 0.559,F8
57991, 9.06,   3.13,  1.66, 0.323,F0
57992, 8.54,   0.61,  1.15, 0.974,G5II/III
57993, 7.55,   8.59,  0.85, 0.246,A6V
57994, 7.30,   3.35,  0.88, 1.632,M1III
57995, 6.05,   2.38,  0.66, 0.050,A0/A1III
57996, 9.05,   4.17,  1.54, 0.644,G0
57997, 8.47,   1.02,  1.43, 1.000,K1IIICN...
57998, 8.63,   4.17,  1.30, 0.235,A0
57999, 8.79,   8.20,  0.91, 0.504,G
58000,10.18,  -1.22,  9.19,-0.120,B5
58001, 8.16,   5.49,  0.79, 0.273,A3
58002, 8.39,   1.58,  1.06, 1.194,K0IIICN...
58003, 7.97,   7.81,  0.96, 0.423,F5
58004, 7.96,   4.32,  0.99, 0.957,K0III
58005, 9.12,   7.66,  1.43, 0.526,G5
58006, 9.45,   3.65,  1.42, 0.952,G9III
58007,10.97,  12.34,  2.51, 0.920,G5
58008, 9.18,   5.78,  1.28, 0.448,F6IV
58009,10.50,  24.13,  5.32, 1.180,M0V
58010, 8.33,   5.71,  0.74, 1.296,K1III
58011, 6.46,  21.50,  0.97, 0.528,F7V
58012,10.51,   5.76,  2.62, 0.400,F8
58013, 6.92,   0.84,  0.85, 1.674,M1III
58014, 9.89,   7.41,  1.68, 0.738,G6III
58015, 8.33,   1.53,  1.16, 1.179,K0
58016, 8.94,   8.74,  0.91, 0.493,F5/F6V
58017,10.12,   3.49,  1.75, 0.382,F2
58018, 7.60,   2.85,  0.86, 1.513,K2/K3III
58019, 9.66,   5.31,  1.41, 0.873,K5
